,text
44, help me i am having severe pain in my stomach whatever your phone number is no one is picking up the phone help me i need medicine the pain is too much pnr no 2731745806 phone number 8447175336 sir dard se mar javga me please help me
45, what kind of journey details as i provided train number and coach number
46, train 12772 is late by 6 hours 
47, train 12772 is late by 6 hours 
48,i wish i could upload the sounds but the train is in motion so that noise can only be heard by one s physically present kindly do something
49, train 12772 is late by 6 hours 
50, train 12772 is late by 6 hours 
51, train 12772 is late by 6 hours 
52, sir will anyone listen paying for 2ac and getting sleepless nights because of rats please help 
53, train 12772 is late by 6 hours 
54, train 12772 is late by 6 hours 
55, train 12772 is late by 6 hours 
56, train 12772 is late by 6 hours 
57, train 12772 is late by 6 hours 
58, train 12772 is late by 6 hours 
59, train 12772 is late by 6 hours 
60, i am travelling from khagariya to new delhi in vaishali super fast exp train no 12553 my ticket is rac pnr is 6709946673 my tickt was not confirmed as per rules because many confirmed passengers did not board the train seats are sell by tte
61, train 12772 is late by 6 hours for a short span of raipur to hyderabad why it is so late
62, witnessed the corrupt practices adopted by onboard tte still they are using paper chart for ticket checking after advancement of technology hht device kept silent vacant seats sold and rac passenger kept waited at 12553 at indian railway 
63, train no 18625 from saharsa to patna coach s 3 standing at saharsa junction cleaning and hygiene ka to koi matlab hi nahi worst maintenance 
64, dear sir puri amp taj agra both r the tourist places there is no any direct train b w both stations tundla jn is a nearby station of agra and also there is no direct train for puri to tundla sir please make stopage of 12815 train
65,charging full amount for rac seats amp providing one set of bedsheets amp tt is not even bothered about clearing the rac even when the seat is vacant such a pathetic type of service amp train is too running late train 22867 pnr 6111231760 
66, this is my 4th tweet it s suffocating situation in train no 13351 coach no s5 due to ticketless and unauthorised passengers women s and children are in trouble 
67, you need to have cargo trains to all major cities and the big trucks with full loads can go on the train along with the drivers with trucks and they can just get down and drive to destination
68, train 12854 not reached burhar from shahdol to burhar hardly it is 20 min way it took 1 hour i think it will reach raipur by eve in such position worst railway service and management
69, is anybody even listening i have told the attendant he said the whole coach has rats but none would come out i am traveling with my 1 years old and i am having sleepless night so that none bites him 
70,shared my pnr with u waiting for action from ur end 
71, goods train are getting preference and what are we we are paying to railways and passenger train 12854 are unnecessary getting stopped kin chutiya logon ko adhikari and mantri bna diya gaya hai
72, sir it is requested that i booked ticket in 12225 for me and my mother unfortunately side lower birth allotted by the rly to the 62 yrs old women against pnr no 2150916532 i req u to kindly allow one l sl birth for her my no 7011546551 
73, railways are unnecessary delaying train 12854 at no stop station also train are getting stopped for hours and at outers also of train is delayed then making it more delay instead of covering up chutiya railway
74, refund not credited to my account still it s already a month above customer care contact your bank bank says we cannot do anything in this matter kindly request irctc to look into this matter and transfer the refund amount as early 
75, kudos a handicap would know about the respective coach reserved once train arrives and person has to walk the entire train length in less than 5 minutes as some trains have it after engine and rest have it in the end 
76,parents are traveling from deoria to dimapur via train number 15910 having pnr no 2249717293 they have not received the blanket pillow and other stuffs which they are supposed to receive in 3rd ac compartment requesting to look into this matter and do the needful
77,why no 12393 expresse is delay by 54 minutes 
78, 18234 train no ka comlain kiya tha 139 me ki se 1 reservation coch me jeneral ticket yatri rat me bahas kar rahe hai short out to nahi hua lekin complain short out ka massage aa gaya sallute hai indian railway ko
79,my pnr is 2612873160 i m entitled to get blanket and pillow but coach attendant has not given both those with confirmed tickets also paid equal to rac then why not give us blankets amp pillows this is big corruption 
80, i am currently in train no 20807 i boarded at talcher station and the 2nd ac washroom is not clean at all we asked the tt but they dont t respond and then we pulled the chain at bilaspur junction but the rpf person was so rude 
81, traveling in 2ac train 12307 departed on 8 11 22 coach a2 there is continuous noise of rats fighting inside the ceiling how is anyone expected to sleep in such conditions that too in 2ac 
82, sir my train is verry late there is my exam 14115 please speed up the train
83, sir train is very late approx 5 hour there is my exam please speed up the train my train no is 19489
84, on platform no 8 there is no waiting hall 
85, everyone is sleeping and we are in this cold waiting for same train shame on 
86, train still fully halt since last 1hr just before the nagpur station you all are not doing anything neither responding what s the reason for the delay and halt 4hr 50min journey still incomplete after 11hrs pl revert 
87, train no 12772 no updates on train status passengers are already suffering work amd studies affected 
88, display for train no and coach position is not working at laksar railway station people are feeling helpless pl do needful
89, we are traveling jodhpur to delhi in mandore exp we booked our tickets on 7 11 22 our ticket is not confirmed we were completely ignored by tt please take some satisfactory action 
90, please respect passengers time its too much 12772 r sc sf express taking more than 4 hrs to cover 50 km distance from rewral to nagpur still not come to nagpur what is going on 
91, further improvement in delay now the train is 3 hrs late 
92, is there anyone who can check why the train no 17322 is running late by more than 8 hours every one s time is important and we are private employees can railway reimbursement our one day salary bcz of late service
93,my kid is asking indian railway kinke hath me hai extremely mockry of the system can ir explain why 12772 is delayed more than 5 hours 
94, no improvement in train delays at raipur nagpur route today train 12807 came 30 min late at raipur and now running 2 30 hrs late and still not reached nagpur very irritating and depressing situation 
95, 12321 mumbai mail s 7 need help without reservation lot s of people are there and occupying the reserved seats even sleeping on the ground making it difficult to travel with bags
96,1st tym i am travelling delhi to muzaffarpur by indian rail 1st thg rail is 6hour late 2nd thg rail coaches is not clear 3nd toilet is vry bad condition thr is 9 water inside the toilet 9 door lock 9 water mung even no handwash wow 
97, help me i am having severe pain in my stomach whatever your phone number is no one is picking up the phone help me i need medicine the pain is too much pnr no 2731745806 phone number 8447175336 
98, there r too many cockroaches and other insects in b6 3rd ac of train number 12447 no one giving answer tc is making excuses and nt giving complain diary look in matter pnr 2250603084
99,help me i am having severe pain in my stomach whatever your phone number is no one is picking up the phone help me i need medicine the pain is too much pnr no 2731745806 phone number 8447175336 
100, matter was informed to rpf prli and on duty rpf staff attended the said train and solve the problem
101, i have tried to book a metro ticket in metro ride kolkata app using paytm vpa on 20 october 2022 but my money got deducted and ticket didn t get booked now almost 20 days past still i didn t get any refund my upi trans id 229304650361
102, dear sir please share your pnr number or coach no sea no so we can arrange 
103, 17252 running late by 1 hour my pnr 4339184486 date of journey 08 11 22
104, sir my pnr is 6211109016 one person is claiming with pnr no6410887233 and showing ticket please confirm who has been allotted this berth 
105, then it will be jpet passenger amp not vb
106, narmada exp 18234 s11 me unreserved person aakar yatriyo ko disturb kr rahe hain please help bachche aur ladies pareshan hain please help 
107, train no 15114 coach b2 3rd ac has no handwash in washroom the coach attendent is denying the responsibility 
108,if i book 6 railway tickets n immediately cancel it as i found mistake in any details will i be charged cancellation fees of 1500rs for 6 tickets 
109, railminindia i was in train pass 48hrs the train is late by 9hrs how should i get my next train i miss my train you will take action or seeing only for or more getting late when every i am call u your call centre they are not responding the call it s this
110,please let me know the status of train no 12262 i am standing at bhusaval jn amp the staff at station are unable to tell me the status i even called 139 bt the same thing happened it was supposed to come by 1 40 bt it haven t came yet 
111, 12772 delayed for more than 4 hours and there has been no update whatsoever at nagpur station kindly update the time of arrival it is disgusting and such a shame to keep people hanging at 2 am for a train which is suppose to leave at 9 35 
112, tte said i ve no manners of talking when i said sir please let me travell with general ticket only i m a student he broked on me coz i ve not respected him with the bribe he need directly 
113, train no 12510 traveling more than 1 hr delaying our job please inform abt delay b4 beginning of journey im abt 2 to lose my job due to dis or please switch my ticket to its previous train to avoid any delay 
114, sir my pnr is 6211109016 one person is claiming with pnr no6410887233 and showing ticket please confirm who has been allotted this berth 
115, no one came to me nor contacted me but issue is closed why this issue is not resolved very bad service 
116, train no 12103 water is not available in s3 coach plhelp
117,dear how pathetic is your system that you cannot even update the data properly i am a dengue patient travelling in this train 12368 i needed to reach at my destination on time but because of your pathetic service i will be in icu 
118, thanks pradeep bhai we only started this petition see our association name is written loca in it
119,hi it seems that train no 15127 doesn t have proper ac and we have to suffocate to death as per coach attendant they dont t have control over it 
120,ganga sutlej exp after being 4 5 hrs late train bogies displayed at opposite direction at platform8 of varanasi station causing severe inconvinience to passengers kindly take action against responsible 
121, no blankets pillows sheets being offered in train number 09418 coach b2 can this be rectified plz
122, what a swach railway kya mast cleanliness hai hygiene hai aaj taak nahi dekhi please do action please pnr 6511284842 trn 19602 dt 08 11 22 frm jp to udz cls 3a p1 b5 34 train is also running late 
123, indian railway never on time ir please be concern for people who are traveling trains are running late more than expectation train number 15159 doj 7 11 22 train no 12772 8 11 22 for 3 hr journey train is del by 5 hr
124,pnr 6511284842 trn 19602 dt 08 11 22 frm jp to udz cls 3a p1 b5 34 phn 7982020589 what a cleanliness in the train aasa leeg raha hai jaise kisi kachre ke daabe mai aa gye hai itna ganda coach please do clean mosquitoes is around 
125, ac is not cooling properly in b2 coach there is no attendant available in the train to comlain and resolve this problem trn 18013 dt 09 11 22 frm hwh to bksc cls 3a b2 coach
126, please help and revert
127, kindly share your pnr number for better assistance 
128, please provide medication 
129,your 139 number is absolutely useless no one speaks from there even after waiting 20 minutes on call 
130, we have been waiting at ddu for last 6 hrs train no 12176 has no update at all please help
131, what s going on with trains 2ac coach and 4 person are sitting on one seat tc doesn t even care he saw and left so uncomfortable 
132,17019 s6 coach 
133,train delayed by 12hours45 minutes train number 12262 we have scheduled our journey accordingly then we will miss the train 12051 and miss our flights too who will compensate why we will suffer 
134,no power no generator namakkal railway station tamilnadu no train announcement how to get train in people 
135,pnr 2247587872 from b12 coach i departed from deoria with my family and i haven t got a bed roll yet except one blanket and there is no in charge here who gives bed rolls can you please help us ashok gupta m 8758465415 
136, respected sir pnr 8555974498 trn 12322 dt 08 11 22 frm jbp to hwh cls 1a p 2 cabin c apart from train being 1 30 hrs late 1st ac seems like sleeper class no hygiene passangers of slp class entered and stand and creating mess like anything 
137, hi pnr numbers are 6409066973 and 6708397857 train taken 7 november from sealdah showing late approx 4 hours 
138, my mother aged 70 and my sister aged 41 with daughter age 6 travelling in danapur pune having pnr 6711335188 i berth has been alloted in seconed ac 10 upper and other waiting howcome a lady having age of 70 van go to upper berth please provide a seat to old lady
139, a sf train 12772 raipur secunderabad sf exp delayed by 3h15mins this is one of the slowest train in the entire country reached gondia at 20 30 and hadn t yet reached nagpur whereas it takes 2hrs normally filing tdr complaint 
140, i am unable to sleep in such train the condition of the coaches are very bad they are giving used bed rolls and towels i want justice i want my precious money back 
141,no bedroll no blanket no pillow in the train please help all the passengers including some foreign tourists pnr 2345379926 mob no 7008949501
142,my grievance didn t got resolved but still i have received the message from rail madad that my ticket id has been closed this is really very ridiculous service of railways 
143, jbn to kir will take 150 160 mins that can be easily administered for the benefits of passengers 
144, i have booked tatkal ticket by paying 3000 something in 14808 dadar bgkt exp the condition of the train is the worst the dust is there in 2a coaches 
145, my grievance didn t got resolved but still i have received the message from rail madad that my ticket id has been closed this is really very ridiculous service of railways 
146, kindly extend this train till jogbanijbn it will reduce the enormous overcrowded pressure on 12487 88 seemanchal express 
147, train number 15006 my parents are waiting for the train to arrive at haridwar but there is no update from any staff at the railway station 
148,drm dnr i r p choubey of 66 travelling from dnr to pune the train no is 12150 i am in s 3 44 the coach is overcrowded having 400 passingers the tte coach incharge reached after arah i m unable to leg down even cannot go to toilet please help 
149, respected sir pnr 8757923371 trn 12322 dt 08 11 22 frm ddu to hwh cls 2a p1 ha1 14 apart from train being 1 30 hrs late 2nd ac seems like sleeper class no hygiene passangers of slp class entered and stand attendent not given blankets yet 
150, respected sirs regarding the smvb bangalore railway station there is no proper transport facility autos and cabs primarily as they deny to drop or pick up to from this station elderly citizens cannot board bus can you get this resolved asap please
151, dear sir 01675 train is very late kuch kiya jaye sir
152, 12721 dakshin express sc to nzs we thought that every train is provided with blankets as like telangana express so that we are not brought blankets in this winter we can t tolerate this much cool so we requested you to please off the ac coach
153, when will i get my refund it s almost 2month but still i haven t received any resolution or refund from irctc where nothing is my fault 
154, sir gwalior station not attend this train 
155,your technician is not operating the ac properly it s not that cold at all please tell him to operate properly pnr 4437948232 train no 06509 
156, hi my pnr is 8559174473 on my seat some other people s have sitted and they did not allowing me to sit on my confirmed seat i contacted tc and station staff as well at ltt station but no one is helping i contacted 139 as well several times but no use
157, hope loot be vendor for railneer they charge 20 instead 15 will stop they will impose penalty for ex ranjitsingh and co platform no 1 ahmedabad
158, not able to dm you its train no 12479 on 8 nov suryanagri express
159, 12721 dakshin express train from secendarabad to nzm we thought that every train provided with blankets due to winter as like telangana express so that we do not carried blankets very tuff to tolerate cool we are wishing that please off the ac b1 coach 
160,train no 05216 is standing at madam mahal station since 1 hr it is already delayed by 3 30 minutes i have to join duty in the morning kindly look into the matter 
161, inconvenience cause is deeply regretted matter appraised to escorting staff for rectification
162, where is my train 05304 there is no information whatsoever so called special train for which railway charged me extra shame on 
163, any mail exp connecting train from jogbani forbesganj araria purnia to katihar for this intercity exp ans is no a tight slap on the face of katihar division officer for bad time time table 
164, why delay train no 13019 bagh express train became bullock cart train stopping at every station passenger upset just tell me about reason 
165,i am travelling from delhi to darbhanga by train no 02570 pnr 2450681055 a drunken man is disturbing us in this midnight please help 
166, complaint was closed without resolving noone had ever called me regarding this great service shame 
167, surveying for maximum time limit that people can wait for their train train no 03436 late by 7 hrs 30 min and still not departed 
168, do you have the decency to respond to the query special train paid special fare only to hear the train is running late pathetic condition of the railways under 
169, this reply not any reasonable issue closure i m listening same line on platform from last couple of hours 
170, chauri chowra is delayed at outer varanasi and people are sleeping on platform as their bedroom no place to walk sit or roam need to reach at home parents are waiting without sleeping 
171, hello one of my office friend trailing from dehradun to delhi through train number 14042 dated 08 11 2 class 3a she is single and few young traveler s entered that 3ac coach and using slang language and shout over tt if anyone read this please do appropriate action
172, chauri chaura exp 15003 is running late and stuck at outer varanasi for no reason overly crowded station with no place to sit is irritating is this the new railway we are talking about 
173, still no response from anyone even after lodging first complaint 30 mins people are falling sick thank you for this great customer service shame 
174, kindly share your pnr number matter is been forwarded to concerned for further assistance 
175, dear sirs today bbsr rajdhani train no 22824 ac was stopped for almost 2 hrs around 10 10 30 pm no one of your staff listened anything it was very difficult to take breath now it s resumed please look onto and take action the culprit
176,train no 02570 unwanted man toilet on set coach no b6 take immediate action 
177, what a pathetic service at pt ddu jn no signage boards to show the platform number from overbridge no led working on overbridge to get train arrival departure status everyone is standing here and there on overbridge just to listening announcements 
178, upgrading to vande bharat but in timing always late waiting for sadbhavabna expresstrain no 14015 at bapudham motihari for train but train is late for half an hour till now
179, hello sir mi aaj konkan railway madhe veer to ratnagiri mazya family sobat travel kartana train no 10105 sindhudurg exp kahi transgender person harassment kartana private body part la tach karttat that feel bad so take you the immediate action
180, do something train no 12221 late 12 hour started from pune 7th nov 2022 pnr 8257818134 trn 12221 dt 07 11 22 frm pune to hwh cls 3a p1 b9 64 p2 b9 59 p3 b9 62 p4 b9 63
181,no bed roll pillows etc provided by railways in train no 09418 patna ahmedabad special train yet despite charging special fare for even next stoppage the fare should be reduced and all facilities should be provided 
182,my watchlisted train no 11447 i am waiting for how many hours this train will delay today 
183, i am trying to call 139 no response i have tweeted 2 minutes back but irctc is deleting my tweet it seems i am traveling currently in 12582 and their is no attendent blanket provided is dirty with gutkha spit pnr2350555257 seat b6 1 and 3 
184, 15206 s2 pnr 8458932829 date 08 11 22 light nahi pure coach me not even night lamp please do somthing urgent
185, hello sir my pnr no 2350942056 i am traveling hanumangarh to delhi in s7 slipper coach but looks like gernal coach no titi master no security
186,my pnr number 8659114086 wondering and feeling fear there is no rounds of police guards in train 
187, can you help in 12801 purushottam express s5
188,tips were demanded in 3 phases food staffs cleaning staffs and coach attendant all came for giving tips and last but not least 14 hours late is never expected from a premium train like duronto exp 
189, 12262 hwh csmt duronto express departure date 7 11 22 reached dadar at more than 14 hours late however the train got terminated at dadar without giving any prior information even coach attendant was unaware of such sudden change 
190, i am travelling by train no 12970 from jaipur to bhopal having rac ticket which still not conferm but seat alloted to unreserved passanger by the tte
191, 12801 purushottam express s5 me illegal bahut passengers hain passengers having valid ticket are bound to face humiliation look into matter asap 
192, train 12505 is running late by more than 6 hrs we are suffering a lot is not responding worst condition of railway
193, indian railway dont t have value of passengers time indian railways always run late train but no improvement jas been shows for that they have nothing to say eals inconvenience caused is regretted 
194,s4 coach need to be replaced it s too old pnr 2350927511 trn 14036 dt 08 11 22 frm ptk to dee cls sl p1 s4 55 
195, train unnecessary late other train rewa bilaspur earlier stopped in birshingpur but now not local is running 2 hrs late why 
196, now it s 12 20 but i can t able to turn off the light is there any way to turn it off pnr 6510955454 trn 13483
197, poor performance by tte in train no 12970 jaipur ccb unreserved passanger is travelling and rac is not cleared by the tte in coach no b4
198,if seat are vacant then why my mausa ji is not getting seats till now he is a serving army personal please allot him seats he is traveling in rac fram last 26 hr 
199, sir it is such a sad state that inspite of reservation we have to fight for seat tt is ignoring the mad rush in reservation coach no way to get down or get inside the train sorry state of 19038 tge whole train become general now
200,train no 12488 getting late more and more they are making stop in halt please look asap 
201,this is the condition of indian railway ppl r travelling like animals in this train ppl wd confirm reservation cannot avail their own seat moreover the train is running approx 5 hrs late i think should refund the money back 
202, 12192 b3 coach ac not working please help 
203, daily train needed permanent 
204, please arrange berth for sr citizen woman travelling with 3 kids lady is unwell please attend pnr 2612708903 trn 12240 dt 08 11 22 frm jjn to mmct cls 3a p1 rc b6 39 p2 rc b6 39 
205, i didn t get the solution against my complaint please look into 
206, hwh rnc kriya yoga express pnr 6611290148 3e ac coach why the bedroll not provided in this coach 
207, never felt so bad ever suicidal feelings are in my mind without any reason tt of uttar sampar kranti train no 12445 tuesday 8 nov threw me out of the train infront of whole coach and abused about my mother father beaten me 
208,update on 05304 so called special train missing no update on ntes is this how the making india such frustrating experience railway has gone from bad to worst can you please share an update 
209, train got rescheduled by 12 45 hrs after the chart preparation how can i cancel the ticket got message that chart is prepared 
210, there is no hope from indian railways regarding corruption free organisation
211, please analyse the delay of trains for atleast one year you will find that 99 percent trains reached the destinations delay disappointing
212, send tt or rpf for checking purpose to 15959 kamrup express s8 compartment lots of unauthorised passengers are traveling 
213, sir i am upset today by the behavior of indian railway tt i am crying on station mid night my train no 12445 tue 8nov uttar s kranti train i was trevlg to jammu fr delhi i was having waiting ticket but tt got me out of train and beaten me
214, hi a rude coach attendant is 1 asking money for baggage 2 refusing to give pillow and bedding to a female friend train just left jaipur pnr 2831086993 trn 18208 dt 08 11 22 frm jp to usl cls 2a p1 a2 18 help 
215,pnr 2250860391 trn 12447 dt 08 11 22 frm vglb to nzm cls sl p1 s2 7 dear ind railway i am sitting like an baby on my own seat have you guys tc s checking the train peoples with no tkt and general tkt has occupied all sl seats 
216,like the satyagraha i am waiting peacefully for the train to come please start the train 
217, no tt no rpf no security check traveling in 15959 kamrup express unauthorised passengers are traveling in s8 compartment could not sleep for music and game sound investing lots of money during travel in rail no use of that want to know why we are paying for
218,am i supposed to be provided with solution to the urgency mentioned 
219, i cancelled two rail tkts on 11th sep 2022 the rail cancellation slips with refund approval is attached here with i have not yet received the said ammount in my bank even as of today please look in to this amp expedit 
220,inspite of providing the ownership details of my registered number i m unable to login my irctc account i am facing this issue since last 10 days i m really disappointed with the kind of coordination irctc customer care is giving me 
221, retweet it 
222, please please seriously check this issue other wise bpl rly division name amd fame will be in pit 
223, train no 12772 we are inside the train journey of 5hrs in which more than 2h 40min late with many patients inside old age elderly no crpf patrolling no one here to address patients next my sit with oxygen sitting in critical 
224,surprise to know that railway havestoppedgiving blanket and bedsheet in 3a train traveling from jammu tavi to bandra with pnr no 2250141090 train no 09098 
225, what s the prblm going on with chandigarh dibrugarh express 15904 r we nog human back 2 back crossing given to other trains and waiting at station for 1 hr lumding now at a different station in this way i wil rech my destination in time
226, can india vote for a deserving candidate and not for a symbol or a party
227, sir in pnr no 4651905496 i was supposed to board from ern as per ticket but i could board only two stations after at awy is this allowed should i pay extra amount for this please clarify ph 9435718628
228, i am traveling from ned to mrj in train no 11046 there is a lot of unauthorised person present in coach s10 many of them are sleeping on the coach floor amp outside washroom a lady passenger is traveling with me 
229, pnr 2444384209 himgiri express huge number of people without reservation are entering sleeper coaches small babies and senior citizen are not able to go to bathroom please help 
230, pnr 2450953649 no attendant in coach tain departed from jaipur waiting for bedroll 
231, indian train are very late 
232, i am hurt on my leg due to negligence in maintenance and safety precaution on my berth my pnr is 8158646739 kokan kanya exp dt 08 11 22 i need first aid
233, this is the linen we have receives and coach attender himself says that these are not washed and we have complained to the authorities but no response to them 
234, the railways has become inefficient public complains are not taken seriously unlike mr suresh prabhu regime you get a usual answer complain registered and you get a complain no nothing else
235, sorry for the inconvenience on board cleaning staff informed to attend shortly 
236,when you pay double amount to get even a sleeper seat to agents and then you see this there s not even a space to walk 
237, sir my wife is travelling with 3 year old kid in vskp ltt exp she got side upper tatkal ticket if concern authority can arrange a lower birth will be really helpful as she is not able 2 go up pnr 6211337447 mob 9511620268
238, sir my complaint is train no 04377 over late why resion late wise station dibai 1 hour dhanari 1 45 minutes late bahjoi 1 30 minutes late and disease fiver cancer lungs patient person reached bareilly hospital
239,today i was on bpl stn found some tte employees standing near train discussing duty officials going in wrong direction affecting them physically their officers not paying attention them doing arbitrarily work kindly look into this 
240,no response from 139 on one side no medical facility for people dying and another side on the same train corruption and i am sitting like this just because i didn t pay a bribe of rs 2000 
241, today the same train is running late by 1 hr and 15 minutes 
242, sir extension of 15715 15716 kne aii kne garib nawaz express upto njp was accepted in 2013 but it is yet to be implemented kindly do the needful siliguri junction and bagdogra will get train upto jaipur and ajmer 
243, please see my remarks issue not resolved yet 
244, report this channel as well for making fun of that poor kid and instead of protesting and protecting that poor kid they are laughing and recording video 
245, 11 pm a sweeper asked to provide a ticket for rs 2k at the attendant seat w o my approach in which tt was involved and after i refused furious tt who did not even show his id card kicked us from where i was sitting 
246, these agents taking bribe by anyone who s offering money and other people still waiting for there tickets and will be waiting forever because this happens daily
247, as usual lodged a grievance usual answer complaint registered but have never received any resolution hell with the system this is new india of modiji
248, congratulations sir wishing you all best please help and provide more passenger amenities in sub urban division increase speed of local trains mosquitos free chennai central station clean passenger waiting hall utilizing of empty space meant for renting to circus 
249, they are showing as they government agent this incident happened with me today as i was waiting for the tatkal at sarojini nagar railway station reservation counter 
250, i am going bilaspur station what the hell train late 2hours 31 mint train is still in itrasi station train no 20846
251, my father is travelling alone and he is sick he need urgent medication there is nobody from the medical staff to attend him please help him as soon as possible train no 02563 coach b8 berth 29
252, as a responsible citizen this was to inform that i along with my family has been travelling to haridwar by upasana express12327 my pnr no is 6109198283 there are couple of problems we along with all peoples whose tickets are reserved and confirmed are facing 
253, pity on the conditions of so called machine washed and sealed linen provided in train no 18006 samleswari express from rourkela to kharagpur 
254, i order food through irctc amp paid rs 948 00 online 7 plates aloo partha pnr no 8835323896 but vendor sent only one plate aloo paratha and kids are hungry still i badly feeling cheated i called vendor many times but received 9628882080
255, dear sir train no 12562 i am booking the ticket ac 1 but service is very bad please consider
256, dear sir we are travelling in ganga satluj express from dhanbad to roorkee in ac 3 compartment the bedsheet and pillow provided is very dirty and the resource person is not taking care of it even after requesting please look into the matter 
257, here i m escalating an issue informing about the unauthorised agents and dalal who are taking numbering the public for tatkal tickets 1 2 
258,again railway is showing its class i want to know why this train is running late pnr 6839367367 trn 12130 dt 07 11 22 frm hwh to pune 
259, very true totally corrupted system
260, very sad and upset to travel in train number jat bdts sf spl 09098worst condition of bogie no bedding provide no attendant came even search all train very worst experience even paid much for berth
