,text_stemmed
936,note inconveni caus is deepli regret 
937,declar ntpc result asap 
938,pleas declar rrb ntpc type result 
939,that s condit of indian 
940,refund amount not still not receiv 
941,train 01656 late by 3 hour 
942,whi rrb recurit process is so slow 
943,cancel train 
944,still not get ani solut 
945,no 19670 b14 use bed seat serv 
946,100 technician wate clear kare 
947,and the dial no 139 is useless 
948,where to report track theft case 
949,last seven hour not respons in ani person 
950,100 wait clear ho 
951,how is railway go to ensur safeti 
952,is late receiv from 
953,paytm is bakwa app no rule no regul 
954,whi is balajan station not work 
955,train number 12550 delay by 4 hr whi 
956,is more useless than hi predecessor 
957,tacnician wait celyar kro 
958,see today s departur trim 
959,leav bhayand on 11 11 am 
960,no 12403 is whi late from kanpur jn 
961,no 12403i whi late from kanpur jn 
962,sorri for inconveni 
963,wait from 2019 declar rrb ntpc result 
964,pleas declar all stage of rrb ntpc result 
965,follow all protocol pandem is not over yet 
966,ye seen such practic by few employe 
967,i m not sure mayb c 
968,not a c 
969,pleas stop on bilimora 
970,we need result anyway 
971,khongsara station not provid foot over breez 
972,ticket not book but amount deduct pleas help 
973,no water in be1 coach of no 22353 
974,for not declar ntpc result 
975,transfer ticket to other person 
976,it better to travel in gener ticket 
977,five hour complain but problem not resolv 
